crop_type,soil_moisture_%,soil_pH,nitrogen_ppm,phosphorus_ppm,potassium_ppm,temperature_C,rainfall_mm,humidity_%,sunlight_hours,row_spacing_cm,plant_spacing_cm,plant_density_per_sqm,pesticide_usage_ml,total_days,NDVI_index,yield_kg_per_ha
maize,89.91,5.63,42.53,23.81,78.42,30.13,1076.01,73.08,9.83,68.22,24.54,5.97,261.08,126,0.692,7538.53
rice,68.69,6.22,75.56,65.48,48.93,30.25,582.72,57.35,9.33,24.66,9.13,44.42,410.72,116,0.652,4281.99
soybean,71.52,6.71,45.49,45.34,78.63,26.88,453.9,78.17,9.86,29.02,13.98,24.64,362.14,107,0.818,1830.36
soybean,54.72,6.57,57.19,35.94,69.28,29.99,467.09,62.77,8.45,26.38,8.85,42.83,195.14,142,0.876,2060.72
rice,74.67,6.92,118.4,55.44,85.03,29.55,574.08,68.34,6.54,20.95,6.86,69.61,208.89,111,0.81,3571.85
rice,43.39,7.4,87.47,32.48,64.67,31.01,1194.65,72.01,7.87,21.01,8.51,55.92,73.77,96,0.869,3662.07
soybean,45.04,5.97,108.83,78.28,57.14,19.77,1157.38,52.26,7.29,28.6,9.24,37.83,483.76,140,0.734,2270.08
cotton,49.42,6.29,83.51,46.03,43.47,29.25,431.7,72.72,9.24,63.37,27.62,5.71,107.75,147,0.855,2178.58
wheat,58.77,6.84,84.39,51.95,51.48,29.67,1053.55,83.85,7.73,12.1,4.96,166.52,340.86,132,0.892,4896.6
wheat,53.75,6.41,53.9,61.43,59.87,31.15,818.6,57.19,8.77,18.46,7.83,69.2,223.66,119,0.799,3941.67
rice,61.01,7.2,75.27,74.44,39.49,31.52,962.48,63.07,9.81,15.52,6.6,97.54,161.68,127,0.596,4371.49
rice,72.68,5.62,119.2,52.43,88.66,32.81,725.48,75.39,5.69,19.97,9.19,54.48,35.6,135,0.869,3519.18
soybean,43.96,5.71,72.13,37.22,42.39,24.44,920.32,60.96,6.97,38.01,16.14,16.3,165.69,99,0.754,2068.95
rice,76.78,5.51,90.38,47.74,51.06,20.65,911.16,60.25,7.48,26.46,11.69,32.32,360.98,145,0.784,3819.66
soybean,44.13,7.22,74.42,72.39,93.91,32.71,501.84,54.39,6.92,27.45,12.43,29.3,9.11,92,0.555,1723.26
wheat,42.95,7.33,100.87,53.06,87.47,30.58,774.25,68.76,7.2,10.0,3.87,258.2,392.01,133,0.878,4747.59
maize,65.23,6.09,104.68,62.29,55.75,21.51,474.74,69.07,9.44,61.67,21.02,7.71,36.2,140,0.562,7409.92
maize,64.49,7.25,57.22,59.63,46.96,34.32,535.9,79.35,6.79,55.83,25.01,7.16,323.23,126,0.578,6207.64
cotton,57.48,7.47,65.27,76.1,66.39,34.44,774.43,74.11,5.87,59.92,28.76,5.8,240.23,133,0.697,2812.93
cotton,80.55,5.83,95.36,52.1,92.39,25.84,618.01,52.3,9.28,73.7,29.31,4.63,333.87,100,0.809,2121.3
soybean,57.09,6.47,104.77,36.7,68.48,26.22,501.46,53.81,5.28,30.69,11.23,29.0,376.96,112,0.559,2307.29
rice,84.4,6.16,43.81,62.99,70.63,23.52,939.8,79.38,5.75,19.98,9.94,50.37,128.36,95,0.528,3914.23
rice,83.94,6.32,101.1,33.76,97.84,20.59,942.95,67.88,6.24,23.15,8.91,48.49,244.33,117,0.897,3655.83
rice,40.57,7.09,102.1,37.07,46.67,31.0,914.42,74.96,8.07,18.43,5.83,93.07,103.53,128,0.892,3581.71
cotton,46.09,6.66,60.13,52.71,68.26,27.74,540.11,83.25,5.5,48.25,21.53,9.63,316.26,134,0.576,2321.54
cotton,64.11,7.09,68.21,23.58,48.99,20.69,1038.05,59.09,5.89,59.0,21.51,7.88,256.96,125,0.546,2454.3
cotton,75.69,5.71,108.06,44.81,49.75,31.44,717.7,68.13,8.45,66.9,25.18,5.94,281.9,107,0.838,2795.6
cotton,56.09,6.72,79.12,42.78,61.55,22.47,983.11,82.65,5.58,61.61,24.86,6.53,177.26,149,0.762,2203.38
cotton,81.44,6.13,114.52,74.0,84.2,30.92,501.86,55.22,8.67,53.67,26.38,7.06,298.48,96,0.561,2685.3
cotton,83.91,6.78,87.18,56.2,71.96,29.71,912.54,83.3,7.22,59.8,22.55,7.41,286.47,120,0.689,2944.84
rice,87.94,7.42,117.96,27.87,76.44,29.26,639.63,67.72,6.94,28.09,13.97,25.48,437.81,149,0.881,3996.99
rice,54.95,5.83,44.84,22.65,65.46,24.92,950.25,76.75,5.17,21.43,8.39,55.58,432.41,114,0.652,4311.14
rice,87.24,7.28,53.87,50.19,31.51,30.94,555.74,69.86,9.22,17.06,8.34,70.3,92.26,107,0.75,4050.38
cotton,43.61,6.23,71.84,48.98,59.37,24.06,951.82,60.33,8.31,64.35,27.15,5.72,446.86,121,0.583,2323.92
