Crop_Type,Soil_Type,Nitrogen_N,Phosphorus_P,Potassium_K,pH_Level,Temperature_C,Humidity_%,Soil_Moisture_%,Rainfall_mm,Fertilizer_Recommendation,Irrigation_Method,Water_Requirement_mm
Watermelon,Sandy,34,57,79,5.9,32,39,71,82,Urea,Drip,0.0
Grapes,Sandy Loam,80,66,142,6.1,29,35,88,58,Organic Compost / General,Drip,0.0
Orange,Black,70,65,89,5.9,18,74,54,171,Organic Compost / General,Drip,0.0
Maize,Sandy Loam,36,42,41,6.7,36,51,78,64,Urea,Furrow,0.0
Blackgram,Loamy,0,61,34,6.2,32,72,36,233,Organic Compost / General,Furrow,0.0
Watermelon,Sandy,26,32,76,6.7,15,66,90,89,Urea,Drip,0.0
Kidneybeans,Sandy Loam,0,54,59,5.8,23,83,74,153,Organic Compost / General,Sprinkler,0.0
Blackgram,Loamy,10,17,6,7.4,32,43,37,213,DAP,Furrow,0.0
Chickpea,Loamy,13,63,31,7.7,19,86,65,118,Organic Compost / General,Sprinkler,0.0
Mango,Loamy,73,10,117,5.5,33,81,92,68,Ammonium Sulphate,Drip,0.0
Jute,Clay,65,9,40,5.5,35,87,36,137,DAP,Flood,0.0
Cotton,Black,85,52,53,5.9,30,36,24,20,Organic Compost / General,Drip,39.0
Lentil,Loamy,0,38,31,7.2,15,88,91,149,Organic Compost / General,Sprinkler,0.0
Chickpea,Loamy,0,46,26,6.5,20,36,49,44,Organic Compost / General,Sprinkler,0.0
Chickpea,Loamy,0,57,34,7.3,17,76,40,107,Organic Compost / General,Sprinkler,0.0
Pigeonpeas,Loamy,26,32,47,6.9,21,51,52,94,SSP,Drip,0.0
Rice,Clay,73,36,18,5.9,28,30,28,116,MOP,Flood,0.0
Mothbeans,Sandy,15,31,0,6.3,33,40,40,52,Organic Compost / General,Drip,0.0
Coffee,Red,51,20,94,4.7,20,79,95,191,Urea,Sprinkler,0.0
Mothbeans,Sandy,23,32,22,6.5,23,67,37,124,Organic Compost / General,Drip,0.0
Rice,Clay,97,43,15,6.5,33,65,49,204,MOP,Flood,0.0
Pomegranate,Sandy,39,36,78,7.0,23,65,56,67,Urea,Drip,0.0
Muskmelon,Sandy Loam,58,25,91,7.4,30,80,72,227,Ammonium Sulphate,Drip,0.0
Mothbeans,Sandy,3,15,19,7.4,17,67,22,118,SSP,Drip,0.0
Jute,Clay,23,34,31,6.3,26,55,57,101,Urea,Flood,0.0
Mango,Loamy,108,21,125,6.5,23,68,48,121,Organic Compost / General,Drip,0.0
Banana,Clay,117,44,195,5.7,33,59,87,101,Ammonium Sulphate,Drip,0.0
Pigeonpeas,Loamy,0,36,0,6.3,21,56,20,138,Ammonium Sulphate,Drip,0.0
Coconut,Red,134,29,129,5.5,22,61,30,52,SSP,Basin,10.9
Coffee,Red,102,49,71,6.6,29,45,24,22,Organic Compost / General,Sprinkler,36.4
Banana,Clay,116,66,179,7.1,16,34,47,28,Organic Compost / General,Drip,12.1
Lentil,Loamy,10,64,34,6.6,24,78,31,211,Organic Compost / General,Sprinkler,0.0
Mungbean,Sandy Loam,28,16,10,6.7,24,83,48,28,DAP,Sprinkler,0.0
Pigeonpeas,Loamy,17,36,6,7.4,30,76,81,119,SSP,Drip,0.0
Lentil,Loamy,21,43,10,6.2,21,79,51,127,Organic Compost / General,Sprinkler,0.0
Chickpea,Loamy,25,65,0,7.2,21,57,76,87,MOP,Sprinkler,0.0
Banana,Clay,139,44,193,7.2,16,74,47,105,SSP,Drip,0.0
Mothbeans,Sandy,0,51,9,8.1,31,70,38,213,Organic Compost / General,Drip,0.0
Orange,Black,75,21,109,8.0,27,31,26,175,Ammonium Sulphate,Drip,0.0
Kidneybeans,Sandy Loam,0,26,23,5.6,25,77,95,22,Ammonium Sulphate,Sprinkler,0.0
